Chandra_ID	NuSTAR_ID	NuSTAR_RA	NuSTAR_Dec	Rate_425	e_Rate_425	E_Rate_425	HR1	e_HR1	E_HR1	HR2	e_HR2	E_HR2	NuSTAR_Type	optical_cp	notes				
325	1	23.46105	30.660042	205.5	1.1	1.2	-0.245	-0.005	0.005	-0.786	-0.006	0.005	ULX(I, H, P)	f	diffraction spike				
318	1	23.46105	30.660042	205.5	1.1	1.2	-0.245	-0.005	0.005	-0.786	-0.006	0.005	ULX(I, H, P)	c	nucleus of M33				
321	1	23.46105	30.660042	205.5	1.1	1.2	-0.245	-0.005	0.005	-0.786	-0.006	0.005	ULX(I, H, P)	n	some blue stars nearby, but nothing stands out.				
180	2	23.3687	30.457672	55.9	0.75	0.79	-0.019	-0.012	0.012	-0.791	-0.014	0.015	I(Z, H)	x					
156	3	23.350071	30.732233	10.87	0.45	0.48	-0.071	-0.033	0.034	-0.777	-0.056	0.054	I	x					
158	3	23.350071	30.732233	10.87	0.45	0.48	-0.071	-0.033	0.034	-0.777	-0.056	0.054	I	x					
225	4	23.391317	30.536358	7.84	0.338	0.346	-0.576	-0.037	0.035	-0.89	-999.0	-999.0	S	p	UV emission from the gas makes it difficult to see the point source.				high mass X ray binary candidate
561	5	23.660458	30.918378	6.861	0.412	0.441	0.165	-0.056	0.054	-0.527	-0.075	0.07	I(Z)	x					
492	6	23.605917	30.921258	5.934	0.2	0.625	0.048	-0.056	0.054	-0.484	-0.063	0.086	I	x					
37	8	23.222604	30.552394	3.131	0.25	0.422	0.129	-0.087	0.088	-0.364	-0.1	0.112	I(H)	x					
221	9	23.388396	30.520033	3.11	0.562	0.319	-0.2	-0.1	0.093	-0.329	-0.175	0.126	S	p					
195	10	23.375804	30.567758	2.624	0.525	0.327	0.058	-0.106	0.11	-0.423	-0.2	0.125	I(H)	p					
64	11	23.255617	30.531489	2.346	0.35	0.365	0.22	-0.1	0.094	-0.567	-0.15	0.125	H I)	x					
553	13	23.650704	30.787375	2.058	0.337	0.347	0.304	-0.138	0.147	-0.366	-0.175	0.159	H(P)	g					
546	14	23.645767	30.945156	1.971	0.525	0.492	0.05	-0.3	0.313	-0.202	-0.325	0.296	I(H)	x					
299	15	23.444554	30.630453	1.97	0.25	0.257	-0.025	-0.125	0.138	-0.393	-0.15	0.156	S(I)	p					
141	17	23.339908	30.647075	1.721	0.225	0.234	0.327	-0.163	0.164	-0.022	-0.125	0.121	H(P)	g	no UV, partial optical coverage				
281	18	23.427292	30.715106	1.629	0.225	0.234	0.318	-0.137	0.14	-0.432	-0.15	0.141	P	g	subtle galaxy				
347	20	23.488104	30.623206	1.485	0.225	0.234	0.124	-0.137	0.148	-0.877	-999.0	-999.0	Z(H, I)	p					
396	21	23.509762	30.825836	1.425	0.276	0.29	0.377	-0.2	0.225	-0.334	-0.188	0.18	P	p					
365	23	23.496046	30.833381	1.355	0.175	0.429	-0.126	-0.175	0.183	-0.314	-0.262	0.275	S(I)	g	bright, but it's not perfectly circular				
398	24	23.516083	30.700231	1.158	0.3	0.306	0.153	-0.213	0.218	-0.523	-0.35	0.281	I	p	diffraction spikes in UV image.				
405	24	23.516083	30.700231	1.158	0.3	0.306	0.153	-0.213	0.218	-0.523	-0.35	0.281	I	n	really bright star at 3 sigma				
577	27	23.675458	30.879858	1.023	0.3	0.306	0.378	-0.3	0.344	-0.055	-0.262	0.235	P	x					
